Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Communication skills,Logical quotient rating,hackathons,Extra-courses did,certifications,workshops,interestedsubjects,interestedcareerarea ,Job/Higher Studies?,interested in games,Management or Technical,Introvert,JobRole
74,93,68,64,64,79,7,1,yes,hadoop,game development,hacking,cloud computing,higherstudies,yes,Technical,yes,Business Systems Analyst
81,74,73,87,66,84,2,5,no,distro making,web technologies,hacking,developer,job,yes,Technical,no,Business Systems Analyst
94,85,74,60,90,94,3,5,no,app development,hacking,cloud computing,cloud computing,higherstudies,yes,Technical,yes,Business Systems Analyst
73,94,65,79,87,63,6,6,yes,hadoop,data science,networks,Business process analyst,higherstudies,yes,Management,yes,Business Systems Analyst
88,71,60,88,92,66,6,2,yes,hadoop,web technologies,hacking,Business process analyst,job,no,Management,yes,Business Systems Analyst
85,69,67,76,83,77,1,5,yes,machine learning,data science,Management,testing,job,yes,Technical,yes,Business Systems Analyst
73,89,85,69,67,66,9,2,no,hadoop,web technologies,Computer Architecture,cloud computing,job,yes,Technical,yes,Business Systems Analyst
65,88,75,76,78,72,6,6,no,hadoop,data science,cloud computing,testing,job,yes,Management,yes,Business Systems Analyst
61,82,83,63,85,72,9,4,yes,information security,hacking,networks,developer,job,no,Technical,yes,Business Systems Analyst
68,90,65,66,66,76,4,5,yes,r programming,game development,cloud computing,system developer,higherstudies,no,Management,no,Business Systems Analyst
70,91,63,82,71,60,2,5,no,machine learning,web technologies,Software Engineering,cloud computing,job,no,Management,no,Business Systems Analyst
71,80,78,69,62,89,6,5,no,r programming,system designing,cloud computing,developer,job,yes,Management,yes,Business Systems Analyst
91,61,93,72,72,80,4,6,yes,app development,system designing,data engineering,Business process analyst,job,yes,Management,no,Business Systems Analyst
66,69,61,70,73,71,1,2,yes,hadoop,testing,cloud computing,testing,higherstudies,yes,Technical,yes,Business Systems Analyst
60,77,87,81,80,92,5,4,no,full stack,data science,parallel computing,testing,job,no,Technical,yes,Business Systems Analyst
78,85,80,85,83,62,6,2,yes,app development,hacking,cloud computing,Business process analyst,job,yes,Technical,no,Data Architect
64,74,91,73,68,63,5,2,no,app development,testing,Management,developer,higherstudies,yes,Technical,no,Data Architect
87,94,90,84,74,64,9,1,no,app development,hacking,parallel computing,developer,job,no,Management,no,Data Architect
88,67,68,72,73,73,4,2,yes,app development,database security,Management,developer,job,no,Management,no,Data Architect
83,88,74,63,79,86,2,6,yes,shell programming,game development,networks,testing,job,yes,Management,no,Data Architect
60,61,79,90,66,69,7,3,yes,full stack,system designing,data engineering,testing,job,no,Management,yes,Data Architect
88,86,62,77,93,92,1,5,yes,machine learning,game development,programming,system developer,higherstudies,yes,Technical,no,Data Architect
89,92,93,90,60,82,8,4,no,shell programming,web technologies,IOT,testing,higherstudies,no,Technical,yes,Data Architect
91,87,64,84,63,83,4,0,no,r programming,web technologies,networks,testing,higherstudies,yes,Technical,no,Data Architect
65,67,91,62,88,69,4,3,yes,python,data science,IOT,security,job,yes,Technical,yes,Data Architect
70,66,80,89,73,73,2,0,yes,machine learning,cloud computing,programming,developer,higherstudies,no,Technical,yes,Data Architect
64,73,82,90,90,79,1,4,yes,r programming,system designing,Management,Business process analyst,higherstudies,yes,Management,no,Data Architect
69,91,92,73,63,64,4,2,no,full stack,web technologies,parallel computing,developer,higherstudies,no,Management,no,Data Architect
79,79,94,60,89,84,3,2,no,hadoop,web technologies,Computer Architecture,security,higherstudies,yes,Management,yes,Data Architect
75,92,93,83,92,88,3,3,no,hadoop,web technologies,Computer Architecture,cloud computing,job,yes,Technical,no,Data Architect
71,92,84,67,94,87,7,6,yes,full stack,data science,hacking,cloud computing,higherstudies,yes,Management,no,Data Architect
77,60,70,84,92,60,6,6,no,app development,cloud computing,hacking,security,job,yes,Technical,yes,Data Architect
85,62,84,74,66,66,8,6,yes,python,system designing,Management,system developer,higherstudies,yes,Management,no,Data Architect
88,85,76,91,69,79,4,4,yes,r programming,game development,networks,developer,higherstudies,no,Management,yes,Data Architect
68,93,76,93,89,67,4,3,no,distro making,system designing,cloud computing,Business process analyst,higherstudies,no,Technical,yes,Data Architect
77,87,61,72,63,71,6,6,yes,full stack,web technologies,data engineering,Business process analyst,job,no,Technical,no,Data Architect
87,67,63,64,60,84,9,1,no,full stack,testing,Computer Architecture,Business process analyst,higherstudies,no,Technical,yes,Data Architect
63,62,85,78,78,87,1,6,no,full stack,game development,programming,developer,higherstudies,no,Technical,no,Data Architect
66,81,63,71,63,68,7,3,yes,app development,testing,cloud computing,system developer,higherstudies,yes,Technical,yes,Data Architect
76,78,67,75,91,91,8,2,no,python,system designing,IOT,security,higherstudies,no,Management,yes,Data Architect
85,76,77,84,66,72,3,1,no,full stack,hacking,IOT,developer,higherstudies,yes,Management,no,Data Architect
68,92,75,82,63,68,1,4,yes,app development,system designing,hacking,Business process analyst,job,no,Technical,yes,Data Architect
78,65,67,62,70,69,4,3,no,distro making,database security,Management,system developer,job,yes,Management,no,Data Architect
68,93,85,94,86,75,2,0,no,information security,system designing,cloud computing,testing,higherstudies,yes,Technical,no,Data Architect
80,74,93,62,63,87,3,4,yes,app development,database security,networks,developer,higherstudies,yes,Management,yes,Data Architect
66,94,94,87,65,73,1,3,no,r programming,hacking,IOT,testing,higherstudies,yes,Technical,no,Data Architect
82,87,87,93,91,61,3,5,yes,shell programming,cloud computing,cloud computing,cloud computing,higherstudies,no,Technical,yes,Data Architect
86,75,87,80,80,79,6,6,no,full stack,cloud computing,networks,cloud computing,job,no,Management,yes,Data Architect
86,69,68,77,67,61,3,4,yes,full stack,database security,hacking,Business process analyst,higherstudies,yes,Management,no,Data Architect
76,88,61,93,84,94,6,6,yes,information security,system designing,Computer Architecture,security,job,yes,Technical,no,Data Architect
62,63,91,94,92,62,7,1,no,r programming,cloud computing,hacking,testing,job,yes,Technical,no,Data Architect
61,84,70,78,60,60,4,0,no,full stack,cloud computing,parallel computing,developer,job,yes,Technical,yes,Data Architect
79,60,64,83,70,74,2,1,yes,python,cloud computing,parallel computing,Business process analyst,higherstudies,yes,Management,no,Data Architect
78,63,81,77,64,77,3,3,no,r programming,cloud computing,Software Engineering,developer,higherstudies,yes,Technical,yes,Data Architect
75,92,70,60,64,77,7,4,yes,full stack,data science,programming,system developer,job,no,Management,yes,Data Architect
64,69,62,79,91,68,7,2,yes,r programming,data science,Management,Business process analyst,higherstudies,no,Technical,yes,Data Architect
60,84,67,69,67,78,8,1,no,full stack,testing,Computer Architecture,Business process analyst,higherstudies,yes,Management,yes,Data Architect
63,69,89,92,88,62,5,3,no,app development,game development,hacking,cloud computing,job,yes,Technical,yes,Data Architect
76,85,83,87,90,79,3,5,no,machine learning,web technologies,data engineering,cloud computing,job,yes,Technical,yes,Data Architect
64,77,78,83,72,61,5,3,no,distro making,data science,programming,system developer,higherstudies,yes,Technical,no,Data Architect
71,85,74,80,88,63,2,5,yes,r programming,hacking,Software Engineering,system developer,higherstudies,no,Management,no,Data Architect
94,75,89,89,80,84,5,2,no,full stack,web technologies,IOT,cloud computing,higherstudies,yes,Technical,no,Data Architect
91,89,87,75,61,80,3,0,yes,python,data science,networks,security,higherstudies,yes,Technical,yes,Data Architect
80,72,74,68,81,63,9,5,yes,python,data science,Management,Business process analyst,higherstudies,no,Technical,no,Data Architect
79,76,66,88,93,63,4,5,yes,machine learning,data science,networks,cloud computing,higherstudies,no,Technical,yes,Data Architect
74,94,75,66,71,80,2,1,yes,hadoop,data science,programming,security,higherstudies,yes,Technical,no,Data Architect
66,93,77,85,60,88,3,6,no,python,data science,Software Engineering,testing,job,yes,Technical,no,Data Architect
77,94,82,72,87,91,5,1,no,machine learning,web technologies,Software Engineering,developer,higherstudies,no,Management,no,Data Architect
69,74,83,74,82,69,5,5,yes,information security,cloud computing,Management,developer,job,no,Technical,no,Data Architect
81,61,63,89,64,67,9,3,no,machine learning,database security,hacking,system developer,higherstudies,no,Technical,yes,Data Architect
79,64,93,83,78,60,8,3,yes,shell programming,system designing,networks,cloud computing,job,no,Management,no,Data Architect
63,60,74,68,63,63,1,2,no,hadoop,data science,hacking,Business process analyst,job,yes,Management,yes,Data Architect
90,64,83,84,78,83,6,0,no,distro making,system designing,Management,system developer,job,yes,Management,no,Data Architect
75,78,72,80,82,89,4,1,yes,app development,cloud computing,hacking,Business process analyst,job,yes,Technical,yes,Data Architect
61,86,92,93,77,70,2,6,no,python,hacking,data engineering,cloud computing,job,yes,Management,yes,Data Architect
85,89,89,89,87,68,4,0,yes,shell programming,game development,parallel computing,cloud computing,job,no,Management,yes,Data Architect
85,81,64,82,94,85,4,4,no,machine learning,cloud computing,IOT,cloud computing,job,no,Management,yes,Data Architect
86,84,84,81,84,70,6,6,yes,shell programming,cloud computing,parallel computing,cloud computing,job,yes,Technical,yes,Data Architect
65,85,86,88,75,70,2,0,yes,full stack,database security,parallel computing,cloud computing,higherstudies,no,Technical,yes,Data Architect
83,60,92,60,64,89,7,2,yes,information security,data science,Software Engineering,cloud computing,higherstudies,no,Management,no,Data Architect
83,94,84,87,66,68,3,4,no,r programming,system designing,Software Engineering,developer,job,no,Management,yes,Data Architect
79,83,86,68,66,83,8,3,yes,shell programming,cloud computing,networks,developer,job,no,Technical,no,Data Architect
69,81,69,68,81,60,2,4,no,full stack,hacking,Software Engineering,testing,job,yes,Management,no,Data Architect
80,74,68,91,80,84,2,2,yes,r programming,testing,Software Engineering,cloud computing,job,yes,Technical,yes,Data Architect
72,90,92,77,60,80,3,1,yes,machine learning,game development,Computer Architecture,testing,higherstudies,no,Management,yes,Data Architect
66,84,67,89,83,88,3,0,yes,full stack,hacking,data engineering,testing,higherstudies,no,Technical,yes,Data Architect
74,75,86,60,79,76,8,4,yes,shell programming,system designing,parallel computing,Business process analyst,job,no,Technical,yes,Data Architect
76,89,93,91,67,73,9,1,no,python,database security,Software Engineering,Business process analyst,higherstudies,no,Management,no,Data Architect
73,68,62,84,61,61,8,6,yes,hadoop,web technologies,Computer Architecture,system developer,higherstudies,yes,Technical,no,Data Architect
60,77,93,94,94,88,2,4,no,distro making,game development,networks,security,job,yes,Management,yes,Data Architect
75,88,62,86,60,77,5,5,yes,full stack,testing,parallel computing,Business process analyst,job,yes,Technical,yes,Data Architect
78,69,79,75,91,79,7,2,no,hadoop,game development,programming,cloud computing,higherstudies,no,Management,yes,Data Architect
86,88,71,76,88,90,5,5,no,app development,data science,networks,system developer,job,no,Management,no,Data Architect
73,71,70,66,69,94,7,3,no,machine learning,database security,Computer Architecture,Business process analyst,higherstudies,no,Technical,yes,Data Architect
68,84,91,79,78,77,9,6,yes,machine learning,game development,parallel computing,system developer,higherstudies,no,Management,yes,Data Architect
62,62,76,89,68,87,9,1,yes,python,game development,data engineering,developer,higherstudies,no,Technical,yes,Data Architect
89,67,93,87,74,68,5,4,no,distro making,cloud computing,data engineering,testing,higherstudies,yes,Management,no,Data Architect
92,71,62,90,74,90,4,5,no,r programming,cloud computing,parallel computing,system developer,job,yes,Technical,no,Data Architect
81,72,83,92,72,62,6,5,yes,distro making,testing,programming,security,higherstudies,no,Technical,yes,Data Architect
85,82,69,85,67,76,3,5,no,python,game development,Software Engineering,Business process analyst,job,no,Management,yes,Data Architect
80,76,64,72,89,83,3,2,no,information security,database security,cloud computing,system developer,job,yes,Technical,no,Data Architect
89,80,91,65,80,61,8,3,no,machine learning,data science,Computer Architecture,system developer,job,no,Technical,yes,Data Architect
71,88,63,66,64,81,2,4,yes,hadoop,hacking,cloud computing,testing,job,no,Management,yes,Data Architect
67,68,91,91,60,67,9,2,yes,information security,web technologies,data engineering,system developer,job,no,Management,yes,Data Architect
88,77,65,88,73,75,9,2,no,information security,hacking,data engineering,Business process analyst,job,yes,Technical,no,Data Architect
61,89,68,87,61,89,6,5,no,machine learning,system designing,networks,security,higherstudies,yes,Management,yes,Data Architect
61,75,80,63,93,70,2,2,yes,app development,game development,networks,cloud computing,higherstudies,no,Management,no,Data Architect
67,91,94,66,91,67,1,3,no,r programming,testing,Computer Architecture,cloud computing,job,yes,Management,no,Data Architect
89,90,63,79,74,85,2,6,yes,python,data science,networks,developer,job,yes,Management,yes,Data Architect
91,88,64,67,62,65,6,4,no,python,hacking,IOT,developer,job,no,Technical,no,Data Architect
81,89,68,68,79,77,6,3,yes,python,database security,programming,system developer,higherstudies,no,Technical,yes,Data Architect
77,76,77,68,69,86,1,5,no,app development,web technologies,Computer Architecture,developer,job,no,Management,no,Data Architect
82,91,68,86,79,63,1,2,no,shell programming,cloud computing,IOT,security,higherstudies,yes,Technical,yes,Data Architect
77,62,77,91,89,62,5,3,no,python,data science,cloud computing,Business process analyst,job,yes,Management,yes,Data Architect
71,65,74,82,68,80,8,5,yes,hadoop,game development,networks,Business process analyst,job,yes,Management,no,Data Architect
86,62,91,68,61,68,5,0,yes,distro making,game development,Software Engineering,cloud computing,higherstudies,yes,Technical,yes,Data Architect
83,64,73,91,71,83,9,4,no,information security,data science,data engineering,security,job,no,Management,yes,Data Architect
88,61,65,65,91,88,9,4,yes,r programming,database security,Computer Architecture,cloud computing,job,no,Management,yes,Data Architect
75,94,65,87,81,81,5,4,no,machine learning,data science,hacking,Business process analyst,job,no,Technical,yes,Data Architect
83,92,90,82,75,88,9,5,yes,information security,cloud computing,cloud computing,security,job,no,Management,yes,Data Architect
85,68,60,85,74,72,1,6,no,hadoop,testing,hacking,security,higherstudies,yes,Management,no,Data Architect
77,76,84,83,76,79,9,4,no,machine learning,hacking,parallel computing,developer,job,yes,Management,yes,Data Architect
60,68,88,78,88,64,4,6,yes,python,hacking,parallel computing,Business process analyst,job,yes,Technical,no,Data Architect
60,94,92,78,81,91,7,0,yes,full stack,web technologies,Management,Business process analyst,job,yes,Technical,no,Data Architect
63,91,74,63,72,78,9,4,yes,r programming,game development,Management,Business process analyst,job,no,Management,yes,Data Architect
86,86,66,62,91,64,9,1,no,python,game development,IOT,cloud computing,job,yes,Technical,no,Data Architect
72,87,83,60,91,71,4,1,no,r programming,database security,programming,cloud computing,higherstudies,yes,Technical,no,Data Architect
73,73,63,73,65,93,8,0,yes,distro making,testing,cloud computing,cloud computing,higherstudies,yes,Technical,yes,Data Architect
74,91,81,74,85,90,6,3,yes,shell programming,system designing,Computer Architecture,security,higherstudies,yes,Technical,no,Data Architect
77,94,86,85,60,82,8,6,no,full stack,testing,data engineering,security,higherstudies,yes,Management,yes,Data Architect
93,67,79,92,76,78,2,2,yes,information security,system designing,Computer Architecture,cloud computing,job,no,Technical,no,Data Architect
78,77,90,77,68,87,5,2,yes,app development,system designing,Computer Architecture,Business process analyst,job,yes,Management,no,Data Architect
66,64,87,70,69,87,5,1,no,python,data science,programming,Business process analyst,higherstudies,no,Technical,no,Data Architect
69,73,86,72,62,65,1,1,yes,python,hacking,hacking,testing,job,yes,Technical,yes,Data Architect
73,76,77,87,67,79,9,4,yes,full stack,data science,hacking,security,job,yes,Technical,yes,Data Architect
88,82,76,78,75,93,5,1,no,hadoop,database security,data engineering,security,job,yes,Management,yes,Data Architect
83,61,63,90,67,66,1,2,yes,shell programming,web technologies,Management,cloud computing,higherstudies,no,Technical,yes,Data Architect
83,73,76,92,89,94,4,5,yes,machine learning,database security,parallel computing,system developer,job,yes,Technical,no,Data Architect
61,82,88,93,64,72,2,2,yes,python,cloud computing,hacking,cloud computing,higherstudies,no,Management,yes,Data Architect
69,93,84,72,62,75,8,3,yes,python,system designing,hacking,Business process analyst,higherstudies,no,Technical,no,Data Architect
65,69,82,76,71,90,1,6,yes,information security,database security,networks,Business process analyst,higherstudies,no,Management,no,Data Architect
74,88,93,61,78,63,9,3,yes,shell programming,web technologies,data engineering,developer,job,no,Management,no,Data Architect
60,60,64,90,75,80,6,4,no,information security,web technologies,Management,testing,job,no,Technical,yes,Data Architect
61,76,73,60,81,81,5,4,yes,r programming,game development,Computer Architecture,testing,job,yes,Technical,no,Data Architect
84,75,86,64,77,75,6,0,no,hadoop,hacking,Computer Architecture,cloud computing,job,yes,Management,yes,Data Architect
67,85,85,87,70,62,5,6,no,distro making,web technologies,Management,cloud computing,higherstudies,no,Technical,yes,Data Architect
84,88,85,91,67,70,9,5,yes,app development,cloud computing,Computer Architecture,Business process analyst,higherstudies,yes,Technical,no,Data Architect
92,74,83,81,89,85,6,6,yes,full stack,database security,parallel computing,Business process analyst,job,no,Management,yes,Data Architect
73,62,85,93,79,77,9,3,yes,python,testing,cloud computing,developer,job,yes,Management,yes,Data Architect
94,81,62,83,68,84,2,6,no,hadoop,testing,programming,system developer,job,no,Technical,no,Data Architect
74,88,85,63,77,70,6,5,yes,full stack,game development,cloud computing,Business process analyst,job,yes,Management,no,Data Architect
87,64,79,61,63,61,7,0,yes,machine learning,testing,IOT,testing,job,no,Technical,no,Data Architect
87,91,62,62,87,66,7,6,yes,app development,data science,cloud computing,Business process analyst,job,no,Management,no,Data Architect
92,76,73,92,67,68,2,1,no,r programming,game development,Software Engineering,cloud computing,higherstudies,yes,Management,yes,Data Architect
84,78,77,87,82,79,3,2,yes,app development,system designing,networks,testing,job,yes,Management,no,Data Architect
80,91,70,91,80,67,2,3,yes,app development,system designing,Computer Architecture,Business process analyst,job,yes,Management,yes,Data Architect
78,81,60,60,71,78,7,6,yes,hadoop,game development,hacking,system developer,job,yes,Technical,yes,Data Architect
79,67,63,86,65,73,8,2,yes,shell programming,cloud computing,data engineering,cloud computing,higherstudies,no,Management,yes,Data Architect
68,62,89,81,60,77,7,0,no,distro making,database security,Management,security,higherstudies,no,Technical,no,Data Architect
85,68,63,77,62,69,7,3,yes,full stack,hacking,Management,testing,higherstudies,no,Technical,no,Data Architect
61,69,69,68,92,68,2,0,yes,information security,data science,hacking,testing,higherstudies,no,Management,yes,Data Architect
85,92,85,93,64,71,6,1,no,hadoop,system designing,hacking,testing,higherstudies,no,Management,yes,Data Architect
61,92,80,76,68,62,3,0,yes,machine learning,cloud computing,Computer Architecture,cloud computing,job,no,Technical,no,Data Architect
87,82,68,88,83,84,2,2,no,r programming,game development,cloud computing,security,higherstudies,yes,Management,no,Data Architect
70,76,60,68,66,76,3,1,yes,shell programming,hacking,Computer Architecture,system developer,job,yes,Technical,no,Data Architect
65,85,69,77,67,66,6,1,yes,hadoop,testing,data engineering,system developer,job,no,Technical,yes,Data Architect
86,92,89,72,67,82,4,5,no,distro making,system designing,cloud computing,cloud computing,job,yes,Technical,yes,Data Architect
80,68,85,63,92,92,1,4,yes,python,cloud computing,parallel computing,cloud computing,higherstudies,yes,Technical,no,Data Architect
65,60,78,89,75,64,4,5,no,app development,database security,parallel computing,testing,job,yes,Technical,yes,Data Architect
84,81,88,87,74,94,5,2,no,information security,system designing,Software Engineering,testing,job,no,Technical,yes,Data Architect
76,78,73,87,63,81,7,6,no,python,web technologies,Computer Architecture,cloud computing,job,yes,Technical,no,Data Architect
92,93,75,92,91,93,9,0,yes,shell programming,data science,parallel computing,system developer,job,no,Management,yes,Data Architect
71,93,65,75,71,94,8,5,yes,distro making,cloud computing,Management,developer,job,yes,Management,no,Data Architect
83,60,84,77,92,67,6,1,yes,machine learning,cloud computing,Management,system developer,job,no,Management,yes,Data Architect
67,83,60,94,81,87,8,0,yes,shell programming,system designing,IOT,Business process analyst,higherstudies,no,Management,no,Data Architect
67,67,69,80,88,87,5,3,yes,r programming,system designing,networks,testing,higherstudies,no,Management,no,Data Architect
90,77,62,62,77,94,2,4,yes,distro making,game development,Management,cloud computing,job,yes,Technical,no,Data Architect
91,70,86,84,93,76,2,5,yes,r programming,testing,data engineering,developer,job,no,Technical,no,Data Architect
62,78,81,79,69,83,2,2,no,hadoop,system designing,IOT,cloud computing,job,yes,Technical,yes,Data Architect
84,84,94,78,70,86,2,4,no,hadoop,cloud computing,Software Engineering,security,job,no,Management,no,Data Architect
65,82,91,85,85,93,8,1,no,information security,hacking,Computer Architecture,Business process analyst,job,no,Management,no,Data Architect
70,92,86,86,70,73,2,2,no,r programming,data science,networks,testing,higherstudies,yes,Management,yes,Data Architect
83,60,63,76,82,90,9,4,yes,distro making,testing,programming,security,higherstudies,no,Technical,yes,Data Architect
64,64,78,66,76,81,8,6,yes,hadoop,database security,programming,security,job,yes,Management,yes,Data Architect
89,79,84,93,83,82,7,6,yes,python,web technologies,IOT,Business process analyst,job,no,Management,yes,Data Architect
72,69,82,85,81,72,2,1,yes,full stack,web technologies,IOT,testing,job,no,Management,no,Data Architect
70,75,61,72,90,77,6,3,yes,hadoop,testing,networks,testing,higherstudies,yes,Technical,no,Data Architect
68,67,94,91,61,81,7,1,no,python,hacking,Management,developer,job,no,Management,no,Data Architect
72,72,67,88,85,93,3,1,yes,hadoop,testing,programming,cloud computing,higherstudies,no,Technical,yes,Data Architect
89,79,91,93,62,80,8,5,no,full stack,cloud computing,IOT,testing,job,no,Management,no,Data Architect
67,76,61,67,62,81,6,1,yes,app development,testing,hacking,system developer,job,no,Technical,yes,Data Architect
77,92,76,93,93,78,9,1,no,hadoop,system designing,data engineering,testing,higherstudies,yes,Technical,no,Data Architect
74,73,69,88,83,64,4,2,no,distro making,web technologies,cloud computing,Business process analyst,job,yes,Management,yes,Data Architect
91,64,67,67,61,78,8,6,no,shell programming,database security,programming,Business process analyst,job,no,Technical,no,Data Architect
86,76,74,67,82,64,2,0,no,python,testing,hacking,cloud computing,job,no,Technical,no,Data Architect
79,70,70,65,69,62,3,3,yes,hadoop,testing,hacking,cloud computing,higherstudies,yes,Management,yes,Data Architect
73,83,60,77,80,93,1,5,no,python,web technologies,Computer Architecture,developer,higherstudies,no,Technical,no,Data Architect
88,62,60,91,93,70,8,2,yes,python,system designing,data engineering,system developer,job,yes,Technical,yes,Data Architect
86,91,94,87,90,66,1,6,no,hadoop,cloud computing,programming,Business process analyst,job,yes,Technical,yes,Data Architect
84,71,63,82,67,87,6,6,no,full stack,hacking,parallel computing,security,job,no,Management,no,Data Architect
71,77,75,72,60,66,7,4,yes,information security,game development,cloud computing,security,higherstudies,no,Technical,no,Data Architect
70,87,62,72,79,78,9,1,yes,distro making,system designing,Management,testing,higherstudies,yes,Technical,no,Data Architect
82,84,72,79,70,87,8,5,yes,information security,data science,data engineering,developer,job,yes,Technical,no,Data Architect
67,88,83,77,91,82,1,0,yes,hadoop,game development,Software Engineering,testing,higherstudies,no,Technical,yes,Data Architect
60,83,84,70,68,64,9,5,no,shell programming,web technologies,Management,system developer,job,yes,Management,yes,Data Architect
80,67,61,91,82,78,4,4,no,r programming,database security,hacking,security,job,no,Technical,no,Data Architect
86,74,80,89,66,71,8,3,yes,distro making,database security,Computer Architecture,security,job,yes,Management,yes,Data Architect
88,68,91,88,79,76,2,3,no,full stack,database security,cloud computing,testing,job,yes,Technical,yes,Data Architect
70,78,91,91,89,72,9,2,yes,shell programming,testing,hacking,developer,job,yes,Management,no,Data Architect
81,68,70,84,88,94,5,6,no,distro making,system designing,IOT,system developer,higherstudies,no,Management,yes,Data Architect
80,70,84,73,77,94,8,2,yes,distro making,database security,networks,testing,job,no,Technical,no,Data Architect
80,91,75,73,65,69,6,1,no,r programming,game development,Computer Architecture,Business process analyst,higherstudies,yes,Technical,no,Data Architect
94,91,72,90,85,82,5,4,yes,machine learning,web technologies,Software Engineering,security,job,no,Technical,no,Data Architect
74,73,94,74,74,73,2,2,no,distro making,system designing,data engineering,system developer,higherstudies,yes,Management,no,Data Architect
81,66,72,74,65,81,7,2,yes,distro making,game development,data engineering,cloud computing,job,no,Management,no,Data Architect
89,82,84,85,66,77,6,4,no,python,game development,Software Engineering,security,job,no,Management,no,Data Architect
84,78,76,77,83,74,7,4,no,r programming,cloud computing,Computer Architecture,security,job,yes,Technical,yes,Data Architect
88,66,86,74,88,76,7,4,yes,distro making,database security,IOT,security,job,yes,Management,no,Data Architect
83,63,83,94,83,65,8,6,yes,full stack,game development,Management,security,higherstudies,yes,Technical,no,Data Architect
86,63,94,74,89,61,9,3,yes,information security,data science,networks,system developer,job,yes,Management,no,Data Architect
61,64,63,61,83,93,4,3,yes,distro making,web technologies,parallel computing,security,job,no,Management,no,Data Architect
60,79,74,77,67,83,7,5,yes,python,testing,Computer Architecture,cloud computing,job,no,Technical,yes,Data Architect
70,62,87,78,77,63,1,4,yes,information security,system designing,Software Engineering,developer,job,yes,Technical,no,Data Architect
66,87,74,63,68,90,2,1,yes,hadoop,game development,parallel computing,system developer,higherstudies,no,Technical,yes,Data Architect
89,60,90,65,75,81,7,5,yes,information security,system designing,parallel computing,Business process analyst,higherstudies,yes,Technical,no,Data Architect
84,72,90,90,68,82,8,3,yes,app development,system designing,cloud computing,developer,job,no,Technical,no,Data Architect
93,61,66,64,76,63,1,3,no,python,system designing,programming,system developer,job,no,Technical,yes,Data Architect
79,60,61,80,81,86,2,5,no,machine learning,cloud computing,networks,system developer,higherstudies,no,Management,yes,Data Architect
82,89,76,71,63,82,5,0,yes,shell programming,cloud computing,hacking,security,higherstudies,yes,Management,no,Data Architect
84,91,85,61,87,93,2,2,no,hadoop,web technologies,networks,cloud computing,job,no,Technical,yes,Data Architect
87,84,83,73,77,62,1,6,no,machine learning,data science,IOT,security,job,no,Technical,yes,Data Architect
93,93,76,91,84,70,8,2,no,machine learning,web technologies,cloud computing,testing,higherstudies,no,Technical,no,Data Architect
60,64,92,92,84,74,8,5,no,full stack,hacking,networks,developer,job,no,Management,yes,Data Architect
60,63,65,77,84,60,7,0,yes,python,system designing,IOT,system developer,higherstudies,no,Technical,no,Data Architect
84,60,93,94,79,85,5,3,no,app development,cloud computing,networks,Business process analyst,higherstudies,yes,Management,no,Data Architect
88,60,76,94,70,85,2,4,yes,app development,game development,cloud computing,system developer,job,yes,Management,no,Data Architect
61,77,74,70,71,85,2,1,yes,hadoop,cloud computing,programming,Business process analyst,higherstudies,yes,Technical,yes,Data Architect
60,81,71,68,83,64,8,6,yes,shell programming,cloud computing,networks,testing,higherstudies,no,Management,yes,Data Architect
68,68,75,80,71,76,9,6,no,hadoop,game development,networks,security,higherstudies,no,Management,yes,Data Architect
74,71,89,81,70,85,6,0,yes,r programming,game development,IOT,Business process analyst,job,yes,Management,no,Data Architect
91,91,65,84,86,79,4,4,no,python,cloud computing,parallel computing,developer,higherstudies,no,Management,no,Data Architect
73,65,87,84,66,80,8,1,no,shell programming,system designing,cloud computing,cloud computing,job,no,Technical,yes,Data Architect
83,79,89,77,90,81,6,3,yes,shell programming,web technologies,data engineering,cloud computing,job,yes,Technical,yes,Data Architect
84,80,77,61,70,64,2,6,yes,hadoop,cloud computing,cloud computing,cloud computing,job,yes,Management,no,Data Architect
62,72,83,63,65,87,1,1,no,r programming,data science,hacking,system developer,higherstudies,yes,Management,no,Data Architect
64,83,62,73,94,61,3,1,yes,r programming,game development,IOT,developer,job,no,Management,yes,Data Architect
72,70,77,74,90,80,5,6,yes,information security,cloud computing,programming,Business process analyst,job,yes,Technical,no,Data Architect
81,71,80,75,79,65,5,5,yes,hadoop,cloud computing,cloud computing,cloud computing,higherstudies,no,Technical,yes,Data Architect
85,75,86,79,61,64,3,6,yes,python,game development,IOT,Business process analyst,higherstudies,yes,Management,no,Data Architect
92,86,64,94,85,84,8,6,yes,app development,database security,networks,cloud computing,job,yes,Technical,no,Data Architect
66,68,68,66,63,68,4,4,yes,r programming,web technologies,networks,Business process analyst,higherstudies,yes,Technical,yes,Data Architect
64,68,78,83,65,80,9,3,yes,app development,hacking,cloud computing,security,higherstudies,yes,Technical,yes,Data Architect
89,61,84,91,61,62,2,4,no,r programming,data science,Management,Business process analyst,higherstudies,no,Technical,no,Data Architect
62,91,71,68,80,70,3,0,yes,full stack,web technologies,IOT,cloud computing,higherstudies,yes,Technical,yes,Data Architect
92,77,72,83,75,64,3,6,no,machine learning,cloud computing,Computer Architecture,cloud computing,job,yes,Technical,no,Data Architect
